Angle,AL240226,BES240226,DD,FC081225,IC190226,JM281125,JN081225
0.0,2.1875281915688123,1.260389438360497,1.1296111868494856,3.716795178479515,1.4673536968659997,2.403938213887159,1.1574414135830011
20.0,2.3223191630022484,1.156686438334873,1.181891453830758,4.90932734857779,1.515034756467018,1.8202946597302798,1.022195330093382
40.0,2.5606733561835426,1.226477155001703,1.3261619590048213,3.938993883978886,2.1256537688150274,2.1230165550950915,1.1199425785868828
60.0,2.852748265075766,1.279299985204125,1.3687760761240497,1.8341397065669298,2.8992564992856518,2.241412798030069,1.6020671149848826
80.0,2.6026349080002547,1.653780371726801,1.3960683256445918,2.3663349889019236,3.758002035425826,2.022640569077339,1.6381571688356675
100.0,2.2623268058378017,1.4955298021358128,1.3110157032788265,1.9371693066786975,2.978120549331652,2.1527242440109453,1.6298147015872277
120.0,3.0684799183822737,1.8399217616198047,1.9266333241747426,2.6222278877627105,4.329209557155711,2.2028356457303744,1.6205598774831742
140.0,2.801689211640873,2.0218560176189593,3.169816151028499,2.3170175349805504,4.113498457266057,2.8414658623902747,2.1404182019843057
160.0,4.202500909498277,2.03858527821181,2.4729882506188003,2.536222988087684,4.0745010836678075,3.7810021149052773,2.6293120242189616
