Angle,ReactionTime_s,trials.key_resp.corr,ID,SourceFile,ReactionTime_ms
60.0,2.0747783920087386,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2074.7783920087386
60.0,4.675313129002461,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,4675.313129002461
60.0,2.5676221570174675,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2567.6221570174675
60.0,1.640425683988724,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1640.425683988724
60.0,1.9541725809976924,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1954.1725809976924
60.0,1.6636489509837702,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1663.6489509837702
60.0,3.1532857659913134,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,3153.2857659913134
60.0,1.808253576979041,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1808.253576979041
60.0,2.6264860469964333,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2626.4860469964333
80.0,2.112170750973746,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2112.170750973746
80.0,5.869154003012227,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,5869.154003012227
80.0,2.8273516240005847,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2827.3516240005847
80.0,1.9587671000044793,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1958.7671000044793
80.0,2.1132439770153724,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2113.2439770153724
80.0,3.879857398016611,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,3879.857398016611
80.0,1.7835614489740692,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1783.5614489740692
80.0,2.9455835089902394,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2945.5835089902394
80.0,1.3890504929877352,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1389.0504929877352
80.0,1.4225644590042066,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1422.5644590042066
80.0,3.045593318005558,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,3045.593318005558
80.0,1.7193775220075622,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1719.3775220075622
80.0,1.7782704810088037,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,1778.2704810088037
80.0,3.402697072015144,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,3402.697072015144
80.0,2.2466232040023897,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,2246.6232040023897
80.0,3.148292167985346,1.0,AL240226,AL240226_003_2026-02-24_15h54.49.792.csv,3148.292167985346
