Angle,CM090226,LT180226,MM02022026,MP060226,TR190226,TS180226
0.0,1.7439956730694186,2.128551632734404,1.6122285503571487,3.179006706153674,1.5291066747486184,2.666269786124758
20.0,1.2495838724998976,1.8396825888157764,1.7811994463571474,3.09236873966632,1.4230242698666795,4.370176294687553
40.0,2.3891720867997113,2.5749879693148614,1.912613081250015,2.78643298742931,2.302654218999669,3.5790134920661028
60.0,1.832468914125002,2.5650627770727232,2.281728505428581,2.9103251607688994,2.1180935030014636,7.210726234585309
80.0,2.005856215313088,3.880839860998094,1.5036447549999892,3.061542876499256,2.222748544730712,5.8745650259164295
100.0,2.3804422833750323,3.4061912264674903,2.738426871666661,3.7087964208749327,2.501040431265331,5.257848939181051
120.0,2.6814533522501733,4.692761166437776,2.588252289300004,3.373162461667865,2.6347396594149664,6.104805747062528
140.0,3.468341942461848,6.273165615937614,2.2991648956666557,2.8834030067851666,2.932575265001188,5.858638576090346
160.0,4.855949324133205,7.065138750336094,2.025838024400014,3.36681015715406,2.5832980992502903,6.275766703547561
