Angle,N,Mean_RT_s,SD_RT_s,Median_RT_s,Min_RT_s,Max_RT_s
0.0,88,2.1291877746927246,1.4687080613138954,1.5328306589981366,0.709063348986092,8.735103428000002
20.0,92,2.3045518640005076,2.1097835745771425,1.5204983599978732,0.8595634960074676,16.409634458002984
40.0,91,2.581035995615721,1.3229345749207544,2.242328759006341,0.9296749689999616,8.820127564002178
60.0,73,3.1351294723432015,3.3194899505547797,2.399715485997149,1.0314341620032792,23.78392774899839
80.0,81,3.122393876715139,2.738163651449009,2.643410014999972,0.8270971679885406,23.232729026000015
100.0,71,3.2483496102532934,2.0039317416286453,2.6209649219963467,1.0480234590067994,9.481976099996244
120.0,82,3.8248984463170936,2.591693425061518,3.1323762645006354,1.0054813609999655,14.44647763199464
140.0,74,4.097602344797364,2.5818608497342526,3.330980489999604,1.106134193999992,11.660926619006204
160.0,73,4.406586686069326,3.285025022855614,3.6300758970028255,0.9065326010000944,19.593321275999187
