Angle,AL240226,BES240226,DD,FC081225,IC190226,JM281125,JN081225
0.0,4.3246346453065945,2.0159618039324414,1.6931314686468493,2.840473953712111,2.651679152000205,3.965860907745082,3.14980241007288
20.0,4.295786176998323,1.9317014442531217,2.1514087931718677,2.3705358089646325,3.4100751853344264,2.948158010345651,1.771740626252722
40.0,5.9073412541541845,1.785378497927533,2.247242236917373,2.190979175828397,5.859879874080294,3.142097976640798,1.966141991346376
60.0,5.222114348572047,2.3881591659301193,2.9325276683375705,3.464832890468339,4.943613750918303,3.379626108865653,2.346637649860765
80.0,3.9351781759275277,2.739855641428481,3.327126366365701,2.5565291920211166,4.168369560402061,3.4834962323657237,2.2189224797766656
100.0,6.716946360719573,2.735318862620401,2.3436172377052054,2.63971147602424,4.557742375815658,3.4475279208272696,2.829062085103942
120.0,4.704213851384479,3.123582473213901,4.4658924610952715,2.6733672488092757,4.824273738895135,3.1730595109111164,2.4262290493934415
140.0,7.181743142284437,3.842232086501705,3.5210431532080597,2.5895276233786717,7.062528068911475,5.288591296578359,3.5780555461921417
160.0,4.925346753906342,4.0329911564011125,3.222559764108155,3.323171690804884,7.007861967201461,6.871644272847334,3.5015198938781396
