Angle,CM090226,MM02022026,MP060226
0.0,1.7439956730694186,1.6122285503571487,3.179006706153674
20.0,1.2495838724998976,1.7811994463571474,3.09236873966632
40.0,2.3891720867997113,1.912613081250015,2.78643298742931
60.0,1.832468914125002,2.281728505428581,2.9103251607688994
80.0,2.005856215313088,1.5036447549999892,3.061542876499256
100.0,2.3804422833750323,2.738426871666661,3.7087964208749327
120.0,2.6814533522501733,2.588252289300004,3.373162461667865
140.0,3.468341942461848,2.2991648956666557,2.8834030067851666
160.0,4.855949324133205,2.025838024400014,3.36681015715406
