left_im,right_im,leftori,rightori,same,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,dir_cue.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,instructions_3.started,image_L_4.started,image_R_4.started,dir_cue_2.started,instr_key.started,instrtxt3.started,instructions_3.stopped,start.started,key_instruct.started,start.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,image_L.started,image_R.started,DirCue.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,fbtext.stopped,feedback.stopped,the_end.started,end_txt.started,end_key.started,the_end.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0112158611882478,0.025644797133281827,0.025644797133281827,1.4002757600974292,m,1.24082688591443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.420938802184537,1.4582519012037665,1.4582519012037665,1.4582519012037665,1.4582519012037665,1.4582519012037665,2.1283254951704293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.147244767053053,2.164113318081945,2.164113318081945,2.164113318081945,2.164113318081945,2.164113318081945,2.6293980900663882,,,,,,,,,,,,,,,,,,,,,,,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6294261801522225,2.645200655097142,3.4528664310928434,space,0.8052539308555424,None,,,,,,,,,,,,,,,,,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
1_z_140_b.jpg,1_z_140_a.jpg,0,160,n,m,160,0,0,0,m,1,2.0666249450296164,None,0,0,0,16,3.6318533001467586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6149780091363937,3.6318533001467586,3.6318533001467586,3.6318533001467586,3.6318533001467586,3.6318533001467586,3.6318533001467586,5.703275201143697,m,1,2.0666249450296164,None,5.706094017019495,5.716000518994406,6.375916194170713,6.202648816164583,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
3_z_160_b.jpg,3_z_160_b.jpg,0,100,y,n,100,1,1,0,n,1,1.0664893789216876,None,0,1,1,29,6.375916194170713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.350810214178637,6.375916194170713,6.375916194170713,6.375916194170713,6.375916194170713,6.375916194170713,6.375916194170713,7.446004371158779,n,1,1.0664893789216876,None,7.446289802202955,7.4544738221447915,8.110708159161732,7.93724649399519,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
1_z_140_a.jpg,1_z_140_b.jpg,0,140,n,m,140,2,2,0,m,1,2.9717229360248893,None,0,2,2,68,8.110708159161732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.084867168217897,8.110708159161732,8.110708159161732,8.110708159161732,8.110708159161732,8.110708159161732,8.110708159161732,11.088318690191954,m,1,2.9717229360248893,None,11.088598628062755,11.096841228194535,11.74747884599492,11.580381563166156,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
3_z_160_a.jpg,3_z_160_b.jpg,0,20,n,m,20,3,3,0,m,1,3.65499788406305,None,0,3,3,20,11.74747884599492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.729272260097787,11.74747884599492,11.74747884599492,11.74747884599492,11.74747884599492,11.74747884599492,11.74747884599492,15.406503668054938,m,1,3.65499788406305,None,15.406784064136446,15.41506890906021,16.065292701125145,15.898548229131848,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
1_z_140_b.jpg,1_z_140_b.jpg,0,20,y,n,20,4,4,0,m,0,1.7371714140754193,None,0,4,4,56,16.065292701125145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.046352863078937,16.065292701125145,16.065292701125145,16.065292701125145,16.065292701125145,16.065292701125145,16.065292701125145,17.807780233211815,m,0,1.7371714140754193,None,17.8103806511499,17.820374478120357,18.480130574200302,18.307057228172198,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
2_z_145_b.jpg,2_z_145_b.jpg,0,60,y,n,60,5,5,0,n,1,1.1222938809078187,None,0,5,5,43,18.480130574200302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.456403972115368,18.480130574200302,18.480130574200302,18.480130574200302,18.480130574200302,18.480130574200302,18.480130574200302,19.60789139708504,n,1,1.1222938809078187,None,19.609578422037885,19.617999609094113,20.280194235034287,20.107059320202097,,,,,003,FC081225,2025-12-08_16h47.24.544,CuedMentalRotation,,2025.1.1,120.1919148440823,2025-12-08 16h47.40.023699 +0000,
